time,state_name,state_abbr,units_total_thousand
2024-01,Alabama,AL,2.095
2024-01,Alaska,AK,0.026
2024-01,Arizona,AZ,5.576
2024-01,Arkansas,AR,0.828
2024-01,California,CA,7.458
2024-01,Colorado,CO,2.562
2024-01,Connecticut,CT,0.253
2024-01,Delaware,DE,0.621
2024-01,District of Columbia,DC,0.021
2024-01,Florida,FL,16.132
2024-01,Georgia,GA,5.116
2024-01,Hawaii,HI,0.308
2024-01,Idaho,ID,1.094
2024-01,Illinois,IL,0.821
2024-01,Indiana,IN,1.511
2024-01,Iowa,IA,0.572
2024-01,Kansas,KS,0.594
2024-01,Kentucky,KY,0.989
2024-01,Louisiana,LA,1.245
2024-01,Maine,ME,0.389
2024-01,Maryland,MD,1.007
2024-01,Massachusetts,MA,1.359
2024-01,Michigan,MI,1.1
2024-01,Minnesota,MN,2.069
2024-01,Mississippi,MS,0.575
2024-01,Missouri,MO,1.322
2024-01,Montana,MT,0.306
2024-01,Nebraska,NE,0.826
2024-01,Nevada,NV,1.537
2024-01,New Hampshire,NH,0.249
2024-01,New Jersey,NJ,3.199
2024-01,New Mexico,NM,0.574
2024-01,New York,NY,3.302
2024-01,North Carolina,NC,7.594
2024-01,North Dakota,ND,0.029
2024-01,Ohio,OH,2.129
2024-01,Oklahoma,OK,0.878
2024-01,Oregon,OR,0.852
2024-01,Pennsylvania,PA,1.689
2024-01,Rhode Island,RI,0.092
2024-01,South Carolina,SC,3.926
2024-01,South Dakota,SD,0.309
2024-01,Tennessee,TN,3.147
2024-01,Texas,TX,19.218
2024-01,Utah,UT,2.228
2024-01,Vermont,VT,0.133
2024-01,Virginia,VA,3.038
2024-01,Washington,WA,2.475
2024-01,West Virginia,WV,0.297
2024-01,Wisconsin,WI,0.976
2024-01,Wyoming,WY,0.13
2024-02,Alabama,AL,1.574
2024-02,Alaska,AK,0.035
2024-02,Arizona,AZ,4.977
2024-02,Arkansas,AR,1.089
2024-02,California,CA,7.745
2024-02,Colorado,CO,3.079
2024-02,Connecticut,CT,0.312
2024-02,Delaware,DE,0.548
2024-02,District of Columbia,DC,0.083
2024-02,Florida,FL,13.285
2024-02,Georgia,GA,5.397
2024-02,Hawaii,HI,0.384
2024-02,Idaho,ID,1.239
2024-02,Illinois,IL,0.982
2024-02,Indiana,IN,2.0
2024-02,Iowa,IA,0.708
2024-02,Kansas,KS,0.852
2024-02,Kentucky,KY,1.619
2024-02,Louisiana,LA,1.239
2024-02,Maine,ME,0.367
2024-02,Maryland,MD,1.415
2024-02,Massachusetts,MA,1.303
2024-02,Michigan,MI,1.405
2024-02,Minnesota,MN,1.236
2024-02,Mississippi,MS,0.64
2024-02,Missouri,MO,1.273
2024-02,Montana,MT,0.302
2024-02,Nebraska,NE,0.851
2024-02,Nevada,NV,1.773
2024-02,New Hampshire,NH,0.286
2024-02,New Jersey,NJ,3.727
2024-02,New Mexico,NM,0.784
2024-02,New York,NY,6.159
2024-02,North Carolina,NC,8.004
2024-02,North Dakota,ND,0.054
2024-02,Ohio,OH,2.361
2024-02,Oklahoma,OK,0.922
2024-02,Oregon,OR,0.873
2024-02,Pennsylvania,PA,1.88
2024-02,Rhode Island,RI,0.115
2024-02,South Carolina,SC,4.143
2024-02,South Dakota,SD,0.313
2024-02,Tennessee,TN,4.296
2024-02,Texas,TX,17.198
2024-02,Utah,UT,1.58
2024-02,Vermont,VT,0.168
2024-02,Virginia,VA,3.141
2024-02,Washington,WA,2.708
2024-02,West Virginia,WV,0.32
2024-02,Wisconsin,WI,2.259
2024-02,Wyoming,WY,0.122
2024-03,Alabama,AL,1.595
2024-03,Alaska,AK,0.045
2024-03,Arizona,AZ,5.363
2024-03,Arkansas,AR,1.242
2024-03,California,CA,7.984
2024-03,Colorado,CO,2.791
2024-03,Connecticut,CT,0.297
2024-03,Delaware,DE,0.596
2024-03,District of Columbia,DC,0.105
2024-03,Florida,FL,14.849
2024-03,Georgia,GA,6.443
2024-03,Hawaii,HI,0.313
2024-03,Idaho,ID,1.433
2024-03,Illinois,IL,2.175
