time,state_name,state_abbr,units_total_thousand
2020-01,Alabama,AL,1.548
2020-01,Alaska,AK,0.109
2020-01,Arizona,AZ,5.08
2020-01,Arkansas,AR,0.842
2020-01,California,CA,8.673
2020-01,Colorado,CO,3.242
2020-01,Connecticut,CT,0.278
2020-01,Delaware,DE,0.538
2020-01,District of Columbia,DC,0.682
2020-01,Florida,FL,14.395
2020-01,Georgia,GA,4.431
2020-01,Hawaii,HI,0.151
2020-01,Idaho,ID,1.424
2020-01,Illinois,IL,1.142
2020-01,Indiana,IN,1.304
2020-01,Iowa,IA,0.511
2020-01,Kansas,KS,0.512
2020-01,Kentucky,KY,1.157
2020-01,Louisiana,LA,1.259
2020-01,Maine,ME,0.234
2020-01,Maryland,MD,1.448
2020-01,Massachusetts,MA,1.806
2020-01,Michigan,MI,1.366
2020-01,Minnesota,MN,1.577
2020-01,Mississippi,MS,0.665
2020-01,Missouri,MO,1.371
2020-01,Montana,MT,0.299
2020-01,Nebraska,NE,0.6
2020-01,Nevada,NV,1.61
2020-01,New Hampshire,NH,0.231
2020-01,New Jersey,NJ,2.407
2020-01,New Mexico,NM,0.371
2020-01,New York,NY,4.991
2020-01,North Carolina,NC,5.553
2020-01,North Dakota,ND,0.036
2020-01,Ohio,OH,2.624
2020-01,Oklahoma,OK,0.846
2020-01,Oregon,OR,1.058
2020-01,Pennsylvania,PA,2.208
2020-01,Rhode Island,RI,0.091
2020-01,South Carolina,SC,2.868
2020-01,South Dakota,SD,0.135
2020-01,Tennessee,TN,3.56
2020-01,Texas,TX,17.885
2020-01,Utah,UT,2.088
2020-01,Vermont,VT,0.083
2020-01,Virginia,VA,2.671
2020-01,Washington,WA,3.615
2020-01,West Virginia,WV,0.269
2020-01,Wisconsin,WI,0.902
2020-01,Wyoming,WY,0.103
2020-02,Alabama,AL,1.38
2020-02,Alaska,AK,0.114
2020-02,Arizona,AZ,4.851
2020-02,Arkansas,AR,0.688
2020-02,California,CA,8.759
2020-02,Colorado,CO,3.121
2020-02,Connecticut,CT,0.442
2020-02,Delaware,DE,0.578
2020-02,District of Columbia,DC,0.336
2020-02,Florida,FL,12.111
2020-02,Georgia,GA,4.183
2020-02,Hawaii,HI,0.182
2020-02,Idaho,ID,1.244
2020-02,Illinois,IL,1.247
2020-02,Indiana,IN,1.187
2020-02,Iowa,IA,0.438
2020-02,Kansas,KS,0.523
2020-02,Kentucky,KY,0.891
2020-02,Louisiana,LA,1.274
2020-02,Maine,ME,0.254
2020-02,Maryland,MD,1.246
2020-02,Massachusetts,MA,0.85
2020-02,Michigan,MI,1.155
2020-02,Minnesota,MN,1.015
2020-02,Mississippi,MS,0.557
2020-02,Missouri,MO,1.339
2020-02,Montana,MT,0.273
2020-02,Nebraska,NE,0.568
2020-02,Nevada,NV,1.8
2020-02,New Hampshire,NH,0.277
2020-02,New Jersey,NJ,1.757
2020-02,New Mexico,NM,0.374
2020-02,New York,NY,2.18
2020-02,North Carolina,NC,5.691
2020-02,North Dakota,ND,0.047
2020-02,Ohio,OH,1.698
2020-02,Oklahoma,OK,0.909
2020-02,Oregon,OR,0.888
2020-02,Pennsylvania,PA,1.955
2020-02,Rhode Island,RI,0.089
2020-02,South Carolina,SC,2.824
2020-02,South Dakota,SD,0.207
2020-02,Tennessee,TN,3.399
2020-02,Texas,TX,16.275
2020-02,Utah,UT,1.877
2020-02,Vermont,VT,0.102
2020-02,Virginia,VA,2.573
2020-02,Washington,WA,3.293
2020-02,West Virginia,WV,0.2
2020-02,Wisconsin,WI,0.916
2020-02,Wyoming,WY,0.103
2020-03,Alabama,AL,1.573
2020-03,Alaska,AK,0.042
2020-03,Arizona,AZ,4.463
2020-03,Arkansas,AR,1.143
2020-03,California,CA,7.949
2020-03,Colorado,CO,3.748
2020-03,Connecticut,CT,0.643
2020-03,Delaware,DE,0.593
2020-03,District of Columbia,DC,0.687
2020-03,Florida,FL,13.674
2020-03,Georgia,GA,3.814
2020-03,Hawaii,HI,0.343
2020-03,Idaho,ID,1.373
2020-03,Illinois,IL,1.85
2020-03,Indiana,IN,1.664
2020-03,Iowa,IA,0.979
2020-03,Kansas,KS,0.427
2020-03,Kentucky,KY,0.895
2020-03,Louisiana,LA,1.674
2020-03,Maine,ME,0.378
2020-03,Maryland,MD,1.604
2020-03,Massachusetts,MA,1.105
2020-03,Michigan,MI,1.134
2020-03,Minnesota,MN,2.216
2020-03,Mississippi,MS,0.723
2020-03,Missouri,MO,1.187
2020-03,Montana,MT,0.323
2020-03,Nebraska,NE,0.593
2020-03,Nevada,NV,1.712
2020-03,New Hampshire,NH,0.29
2020-03,New Jersey,NJ,2.762
2020-03,New Mexico,NM,0.431
2020-03,New York,NY,1.949
2020-03,North Carolina,NC,6.699
2020-03,North Dakota,ND,0.261
2020-03,Ohio,OH,1.449
2020-03,Oklahoma,OK,1.473
2020-03,Oregon,OR,2.143
2020-03,Pennsylvania,PA,1.751
2020-03,Rhode Island,RI,0.097
2020-03,South Carolina,SC,3.46
2020-03,South Dakota,SD,0.493
2020-03,Tennessee,TN,3.21
2020-03,Texas,TX,19.293
2020-03,Utah,UT,3.056
2020-03,Vermont,VT,0.213
2020-03,Virginia,VA,2.632
2020-03,Washington,WA,3.876
2020-03,West Virginia,WV,0.293
2020-03,Wisconsin,WI,1.445
2020-03,Wyoming,WY,0.123
2020-04,Alabama,AL,1.665
2020-04,Alaska,AK,0.098
2020-04,Arizona,AZ,3.316
2020-04,Arkansas,AR,1.099
2020-04,California,CA,5.987
2020-04,Colorado,CO,3.284
2020-04,Connecticut,CT,0.401
2020-04,Delaware,DE,0.536
2020-04,District of Columbia,DC,0.256
2020-04,Florida,FL,12.223
2020-04,Georgia,GA,3.117
2020-04,Hawaii,HI,0.241
2020-04,Idaho,ID,1.055
2020-04,Illinois,IL,1.382
2020-04,Indiana,IN,2.064
2020-04,Iowa,IA,0.858
2020-04,Kansas,KS,0.58
2020-04,Kentucky,KY,0.778
2020-04,Louisiana,LA,1.208
2020-04,Maine,ME,0.481
2020-04,Maryland,MD,1.131
2020-04,Massachusetts,MA,0.548
2020-04,Michigan,MI,0.727
2020-04,Minnesota,MN,2.107
2020-04,Mississippi,MS,0.695
2020-04,Missouri,MO,1.226
2020-04,Montana,MT,0.317
2020-04,Nebraska,NE,0.829
2020-04,Nevada,NV,1.032
2020-04,New Hampshire,NH,0.231
2020-04,New Jersey,NJ,1.227
2020-04,New Mexico,NM,0.361
2020-04,New York,NY,1.077
2020-04,North Carolina,NC,4.886
2020-04,North Dakota,ND,0.419
2020-04,Ohio,OH,1.9
2020-04,Oklahoma,OK,1.059
2020-04,Oregon,OR,1.8
2020-04,Pennsylvania,PA,0.71
2020-04,Rhode Island,RI,0.074
2020-04,South Carolina,SC,2.717
2020-04,South Dakota,SD,0.405
2020-04,Tennessee,TN,3.743
2020-04,Texas,TX,16.518
2020-04,Utah,UT,2.228
2020-04,Vermont,VT,0.119
2020-04,Virginia,VA,2.635
2020-04,Washington,WA,2.716
2020-04,West Virginia,WV,0.322
2020-04,Wisconsin,WI,1.345
2020-04,Wyoming,WY,0.218
2020-05,Alabama,AL,1.334
2020-05,Alaska,AK,0.113
2020-05,Arizona,AZ,3.128
2020-05,Arkansas,AR,1.069
2020-05,California,CA,6.705
2020-05,Colorado,CO,2.604
2020-05,Connecticut,CT,0.661
2020-05,Delaware,DE,0.441
2020-05,District of Columbia,DC,0.393
2020-05,Florida,FL,11.776
2020-05,Georgia,GA,3.898
2020-05,Hawaii,HI,0.258
2020-05,Idaho,ID,1.268
2020-05,Illinois,IL,1.234
2020-05,Indiana,IN,2.183
2020-05,Iowa,IA,0.951
2020-05,Kansas,KS,0.593
2020-05,Kentucky,KY,1.09
2020-05,Louisiana,LA,1.2
2020-05,Maine,ME,0.396
2020-05,Maryland,MD,1.55
2020-05,Massachusetts,MA,1.347
2020-05,Michigan,MI,1.538
2020-05,Minnesota,MN,2.451
2020-05,Mississippi,MS,0.86
2020-05,Missouri,MO,1.403
2020-05,Montana,MT,0.471
2020-05,Nebraska,NE,0.565
2020-05,Nevada,NV,1.122
2020-05,New Hampshire,NH,0.242
2020-05,New Jersey,NJ,1.821
2020-05,New Mexico,NM,0.31
2020-05,New York,NY,2.5
2020-05,North Carolina,NC,5.341
2020-05,North Dakota,ND,0.24
2020-05,Ohio,OH,2.142
2020-05,Oklahoma,OK,0.755
2020-05,Oregon,OR,1.268
2020-05,Pennsylvania,PA,1.968
2020-05,Rhode Island,RI,0.098
2020-05,South Carolina,SC,2.731
2020-05,South Dakota,SD,0.514
2020-05,Tennessee,TN,3.699
2020-05,Texas,TX,15.919
2020-05,Utah,UT,2.226
2020-05,Vermont,VT,0.138
2020-05,Virginia,VA,3.233
2020-05,Washington,WA,4.557
2020-05,West Virginia,WV,0.287
2020-05,Wisconsin,WI,1.676
2020-05,Wyoming,WY,0.165
2020-06,Alabama,AL,1.684
2020-06,Alaska,AK,0.147
2020-06,Arizona,AZ,5.394
2020-06,Arkansas,AR,0.967
2020-06,California,CA,8.844
2020-06,Colorado,CO,3.644
2020-06,Connecticut,CT,0.382
2020-06,Delaware,DE,0.624
2020-06,District of Columbia,DC,1.025
2020-06,Florida,FL,12.709
2020-06,Georgia,GA,4.278
2020-06,Hawaii,HI,0.366
2020-06,Idaho,ID,1.441
2020-06,Illinois,IL,1.48
2020-06,Indiana,IN,2.286
2020-06,Iowa,IA,1.417
2020-06,Kansas,KS,0.537
